R1,R2,R3,Rmax1,Rmax2,Rmax3,Rmax1-R1,Rmax2-R2,Rmax3-R3,(Rmax1-R1)/Rmax1,(Rmax2-R2)/Rmax2,(Rmax3-R3)/Rmax3,(Rmax1-R1)/Rmax1*100,(Rmax2-R2)/Rmax2*100,(Rmax3-R3)/Rmax3*100
370835.75,307787.406,311561.844,439861.43799999997,546426.687,511025.469,69025.68799999997,238639.28100000002,199463.625,0.15692598176792205,0.4367269876773057,0.39032032080577184,15.692598176792206,43.67269876773057,39.03203208057718
383160.0,311448.063,309335.719,439861.43799999997,546426.687,511025.469,56701.437999999966,234978.624,201689.75,0.12890749927480566,0.43002772300541026,0.39467651268864645,12.890749927480567,43.002772300541025,39.46765126886464
368977.719,306463.531,320932.844,439861.43799999997,546426.687,511025.469,70883.71899999998,239963.15600000002,190092.625,0.16115010973069202,0.4391497738103703,0.37198268292181735,16.115010973069204,43.914977381037026,37.19826829218174
383147.281,302785.719,319274.344,439861.43799999997,546426.687,511025.469,56714.15699999995,243640.96800000005,191751.125,0.12893641519900625,0.4458804333617769,0.37522811803338907,12.893641519900626,44.58804333617769,37.522811803338904
373908.56200000003,309202.031,309959.156,439861.43799999997,546426.687,511025.469,65952.87599999993,237224.65600000002,201066.31299999997,0.1499401181878552,0.434138122540124,0.39345654022578663,14.994011818785518,43.4138122540124,39.345654022578664
376543.25,308005.344,312943.75,439861.43799999997,546426.687,511025.469,63318.187999999966,238421.34300000005,198081.71899999998,0.14395030464116287,0.43632814551753407,0.38761613856079646,14.395030464116287,43.632814551753405,38.76161385607965
378717.81299999997,306442.813,298842.0,439861.43799999997,546426.687,511025.469,61143.625,239983.874,212183.46899999998,0.13900655915193003,0.4391876892352441,0.41521114283249155,13.900655915193003,43.91876892352441,41.521114283249155
365753.43799999997,303743.719,305092.906,439861.43799999997,546426.687,511025.469,74108.0,242682.96800000005,205932.56299999997,0.1684803294804852,0.44412722470123434,0.40297905973841,16.84803294804852,44.412722470123434,40.297905973841
381156.906,303197.219,304532.562,439861.43799999997,546426.687,511025.469,58704.53199999995,243229.46800000005,206492.907,0.13346141973009226,0.44512735886927873,0.404075568687556,13.346141973009226,44.51273588692787,40.4075568687556
381858.56200000003,289589.906,294474.125,439861.43799999997,546426.687,511025.469,58002.87599999993,256836.78100000002,216551.34399999998,0.13186624466043767,0.47002971690509693,0.42375841741069853,13.186624466043767,47.002971690509696,42.375841741069856
377052.531,298826.063,294643.688,439861.43799999997,546426.687,511025.469,62808.90699999995,247600.624,216381.78099999996,0.1427924832092236,0.45312688763314374,0.42342660811686467,14.279248320922362,45.31268876331438,42.342660811686464
387628.344,298715.531,293306.312,439861.43799999997,546426.687,511025.469,52233.09399999998,247711.15600000002,217719.157,0.11874897294361136,0.45332916911505095,0.4260436518478104,11.874897294361137,45.332916911505095,42.60436518478104
405871.344,297400.375,287290.094,439861.43799999997,546426.687,511025.469,33990.09399999998,249026.31200000003,223735.375,0.0772745484454129,0.4557359988532186,0.43781648581589583,7.72745484454129,45.573599885321855,43.781648581589586
421700.469,297123.406,288292.219,439861.43799999997,546426.687,511025.469,18160.968999999983,249303.28100000002,222733.25,0.04128793167815721,0.4562428719737841,0.4358554778803011,4.128793167815721,45.62428719737841,43.58554778803011
406143.469,295892.281,287954.094,439861.43799999997,546426.687,511025.469,33717.96899999998,250534.40600000002,223071.375,0.07665588771162064,0.45849591895939007,0.43651713766148903,7.6655887711620645,45.84959189593901,43.6517137661489
242319.78100000002,296305.812,288087.813,439861.43799999997,546426.687,511025.469,197541.65699999995,250120.87500000006,222937.65599999996,0.44909973899553335,0.45773912759132873,0.43625546968579754,44.909973899553336,45.77391275913287,43.625546968579755
221722.25,289505.563,284248.531,439861.43799999997,546426.687,511025.469,218139.18799999997,256921.124,226776.93799999997,0.49592705601076126,0.4701840706400198,0.4437683672474649,49.592705601076126,47.018407064001984,44.37683672474649
235440.891,288275.438,292067.375,439861.43799999997,546426.687,511025.469,204420.54699999996,258151.249,218958.09399999998,0.46473850476522105,0.47243528755395503,0.4284680652580155,46.4738504765221,47.2435287553955,42.846806525801554
228003.71899999998,292919.406,289803.562,439861.43799999997,546426.687,511025.469,211857.71899999998,253507.28100000002,221221.907,0.48164649295763,0.46393649327745956,0.43289800688975055,48.164649295763,46.393649327745955,43.289800688975056
235620.828,296342.906,287446.875,439861.43799999997,546426.687,511025.469,204240.60999999996,250083.78100000002,223578.59399999998,0.46432942821416406,0.4576712429127752,0.43750968897403425,46.432942821416404,45.767124291277526,43.750968897403425
236794.34399999998,295705.656,283115.25,439861.43799999997,546426.687,511025.469,203067.09399999998,250721.03100000002,227910.21899999998,0.461661506230969,0.4588374560849368,0.445986027753149,46.166150623096904,45.88374560849368,44.5986027753149
