resistance_ch1,time_ch1,conc,resistance_ch2,time_ch2,resistance_ch3,time_ch3,Label
83046.4375,177.855,4,45343.8594,178.156,270124.188,178.872,No3_4
84886.0625,179.198,4,45276.082,179.495,271314.813,180.27,No3_4
84265.1719,180.596,4,46457.3867,180.898,270209.813,181.609,No3_4
85335.8516,181.937,4,45017.1797,182.267,277396.688,182.997,No3_4
85520.8984,183.322,4,46857.3594,183.619,278412.344,184.341,No3_4
83830.1875,184.665,4,46542.582,184.961,274227.375,185.744,No3_4
82819.9766,186.07,4,44692.7812,186.366,273268.344,187.072,No3_4
82945.9766,187.41,4,46664.6367,187.739,274113.281,188.482,No3_4
82494.2891,188.807,4,44952.5312,189.104,277622.844,189.818,No3_4
82724.2031,190.144,4,45762.6016,190.441,271798.469,191.223,No3_4
83182.2344,191.549,4,44691.9414,191.845,275915.156,192.552,No3_4
84005.5313,192.881,4,45020.3164,193.182,269052.344,193.887,No3_4
84690.1641,194.21,4,45534.9688,194.54,268622.031,195.262,No3_4
83265.9297,195.587,4,44554.1914,195.884,268623.469,196.605,No3_4
84750.5078,196.998,4,46563.125,197.295,276450.719,198.012,No3_4
84326.3203,198.338,4,46583.7422,198.635,278547.469,199.412,No3_4
84074.5078,199.738,4,45112.4297,200.039,274959.938,200.749,No3_4
84691.3672,201.076,4,45208.9219,201.405,273799.625,202.135,No3_4
82945.4844,202.459,4,44695.6172,202.759,269662.312,203.484,No3_4
86203.0625,203.809,4,45944.3516,204.166,267109.938,204.878,No3_4
83000.1563,205.202,4,45196.5664,205.503,274504.031,206.293,No3_4
82907.2578,206.618,4,44703.9531,206.918,275927.969,207.627,No3_4
82550.9297,207.959,4,46785.4336,208.327,266838.937,209.037,No3_4
85258.8906,209.385,4,45779.4766,209.713,266761.406,210.456,No3_4
82867.3203,210.779,4,44731.625,211.079,267573.938,211.82,No3_4
83284.5625,212.335,4,44839.1445,212.635,268998.563,213.381,No3_4
85886.0703,213.705,4,46715.25,214.005,274817,214.745,No3_4
85725.8906,215.069,4,46206.6602,215.37,272462.063,216.09,No3_4
82811.3672,216.414,4,44628.1523,216.777,267740.812,217.493,No3_4
82624.2578,217.817,4,44703.0781,218.117,275005.906,218.907,No3_4
84353.4219,219.231,4,45428.2031,219.532,275340.906,220.246,No3_4
83165.75,220.573,4,45923.4219,220.941,268650.219,221.651,No3_4
83578.4609,221.998,4,46689.8633,222.327,272507.313,223.068,No3_4
83475.9375,223.392,4,45128.3477,223.692,265695.25,224.434,No3_4
83584.4062,224.758,4,45482.9297,225.059,272728.5,225.881,No3_4
86238.8672,226.205,4,46856.6875,226.504,271969.875,227.221,No3_4
86299.8984,227.545,4,46691.1055,227.902,273421.531,228.627,No3_4
83163.0391,228.952,4,45250.582,229.251,269667.281,230.03,No3_4
82655.3516,230.354,4,44696.418,230.654,274902.5,231.364,No3_4
82675.8203,231.692,4,46230.9922,232.02,265447.031,232.752,No3_4
83785.8906,233.077,4,44697.2852,233.374,269389.469,234.089,No3_4
83037.4766,234.415,4,44812.3398,234.711,269424.313,235.489,No3_4
82793.1406,235.814,4,45194.1289,236.11,265053.719,236.814,No3_4
83042.5156,237.152,4,46875.8555,237.481,273627.063,238.221,No3_4
